index,prob_p1,is_p1,prob_pt
6,0.3146054246615707,FALSE,0.8309859154929579
11,0.05320095082550388,FALSE,0.2904050073799109
3,0.3602061328886107,FALSE,0.5105031753786017
3,0.4379590118004388,FALSE,1
3,0.10168181981606059,FALSE,0.8494623655914013
20,0,FALSE,0.4444444444444444
15,0.2596774193548387,FALSE,0.3531999309987929
15,1.5047985014614618e-7,FALSE,0.2638348164627365
6,0.2793197409455592,TRUE,0.2793197409455592
17,2.3741690408357085e-6,FALSE,0.9166666666666666
9,3.1821178767786406e-4,FALSE,0.3450697577828552
11,0.035994194484760586,FALSE,0.3853538054133869
19,0,FALSE,0.9166666666666673
8,0.512522624330459,TRUE,0.512522624330459
9,0.42348285756309517,FALSE,0.6034540576794096
20,0.7619047619047619,TRUE,0.7619047619047619
2,1.472543451212831e-4,FALSE,0.2874834435827817
3,0.27415868807049004,FALSE,1
7,0.06243915824944077,FALSE,0.8382352941176469
11,0.4134592740774433,TRUE,0.4134592740774433
15,0.4956521739130435,FALSE,1
10,0.08934891500455497,FALSE,0.30401469648058105
20,0.6521739130434783,TRUE,0.6521739130434783
19,0,FALSE,0.3999999999999999
10,1,TRUE,1
17,0.054179566563467514,FALSE,0.8823529411764709
18,0.3076923076923076,TRUE,0.3076923076923076
5,0.5501867583805414,FALSE,0.853932584269666
19,0.00641025641025641,FALSE,0.9166666666666669
2,0.0014452412030684964,FALSE,1
12,0.18236649498509044,FALSE,0.48880347593582923
12,0.5048015505924839,FALSE,1
13,3.804784135572073e-5,FALSE,0.4379020516061223
20,0,FALSE,1
8,0.001110838965556449,FALSE,0.6248185776487688
2,0.1629394205828041,FALSE,0.23848058388116977
20,0.3333333333333332,FALSE,0.8749999999999999
17,0.7754010695187169,TRUE,0.7754010695187169
16,0.3830039525691703,FALSE,0.8333333333333331
2,0.07378479198298614,FALSE,0.8421052631578937
2,0.11022372568836776,FALSE,1
8,7.649183006322567e-4,FALSE,0.1952994120450951
17,0.6862745098039214,FALSE,1
17,0.43846153846153857,TRUE,0.43846153846153857
9,0.01990023855996529,FALSE,0.6296650717703338
16,0.09420289855072465,FALSE,0.5632411067193677
11,0.004922800391804423,FALSE,0.17052865936943407
